USBlyzer Report

Capture List

Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
URB,0012,16:05:07.970,220.914803 s,,Bulk or Interrupt Transfer,16 bytes data,F3 08 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,,F3 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0013-0012,16:05:07.970,220.915778 s,975 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,Success (Success)
URB,0014,16:05:07.970,220.915799 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,
URB,0015-0014,16:05:07.973,220.917778 s,1.979 ms,Bulk or Interrupt Transfer,20 bytes data,40 00 FF FF 4A 82 34 06...,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,Success (Success),40 00 FF FF 4A 82 34 06 53 FF 68 06 48 82 57 51 07 38 12 87
URB,0016,16:05:07.973,220.917815 s,,Bulk or Interrupt Transfer,16 bytes data,F1 80 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,,F1 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0017-0016,16:05:07.973,220.918777 s,963 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA8002864690h,Success (Success)
URB,0018,16:05:07.973,220.918799 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,
URB,0019-0018,16:05:07.975,220.920778 s,1.978 ms,Bulk or Interrupt Transfer,6 bytes data,23 80 83 04 48 37,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80027BBA50h,Success (Success),23 80 83 04 48 37
Cleanup,0020,16:07:29.920,362.863914 s,,Cleanup,ST-LinkUpgrade.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80038D78F0h,
Cleanup,0021-0020,16:07:29.920,362.863990 s,76 us,Cleanup,ST-LinkUpgrade.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80038D78F0h,Success
Close,0022,16:07:29.920,362.863994 s,,Close,,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80038D78F0h,
Close,0023-0022,16:07:29.920,362.863998 s,4 us,Close,,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80038D78F0h,Success
Create,0024,16:07:43.292,376.235500 s,,Create,ST-LINK_gdbserver.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80067CE0D0h,
Create,0025-0024,16:07:43.292,376.235525 s,24 us,Create,ST-LINK_gdbserver.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80067CE0D0h,Success
URB,0026,16:07:43.292,376.235653 s,,Bulk or Interrupt Transfer,16 bytes data,F1 80 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80067CE0D0h,,F1 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0027-0026,16:07:43.294,376.237673 s,2.020 ms,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80067CE0D0h,Success (Success)
URB,0028,16:07:43.294,376.237720 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,
URB,0029-0028,16:07:43.296,376.239653 s,1.933 ms,Bulk or Interrupt Transfer,6 bytes data,23 80 83 04 48 37,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,Success (Success),23 80 83 04 48 37
URB,0030,16:07:43.296,376.239690 s,,Bulk or Interrupt Transfer,16 bytes data,F5 00 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80067CE0D0h,,F5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0031-0030,16:07:43.297,376.240648 s,959 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80067CE0D0h,Success (Success)
URB,0032,16:07:43.297,376.240676 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,
URB,0033-0032,16:07:43.299,376.242648 s,1.972 ms,Bulk or Interrupt Transfer,2 bytes data,00 01,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,Success (Success),00 01
URB,0034,16:07:43.299,376.242680 s,,Bulk or Interrupt Transfer,16 bytes data,F3 07 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80067CE0D0h,,F3 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0035-0034,16:07:43.300,376.243647 s,967 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80067CE0D0h,Success (Success)
URB,0036,16:07:43.301,376.244139 s,,Bulk or Interrupt Transfer,16 bytes data,F2 30 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,,F2 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0037-0036,16:07:43.302,376.245654 s,1.515 ms,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,Success (Success)
URB,0038,16:07:43.302,376.245686 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,
URB,0039-0038,16:07:43.304,376.247651 s,1.965 ms,Bulk or Interrupt Transfer,2 bytes data,04 00,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,Success (Success),04 00
URB,0040,16:07:43.305,376.247993 s,,Bulk or Interrupt Transfer,16 bytes data,F2 32 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,,F2 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0041-0040,16:07:43.305,376.248654 s,661 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,Success (Success)
URB,0042,16:07:43.305,376.248685 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,
URB,0043-0042,16:07:43.307,376.250665 s,1.979 ms,Bulk or Interrupt Transfer,2 bytes data,04 00,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,Success (Success),04 00
URB,0044,16:07:43.307,376.250708 s,,Bulk or Interrupt Transfer,16 bytes data,F5 00 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,,F5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0045-0044,16:07:43.309,376.251656 s,948 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,Success (Success)
URB,0046,16:07:43.309,376.251689 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,
URB,0047-0046,16:07:43.310,376.253650 s,1.961 ms,Bulk or Interrupt Transfer,2 bytes data,02 00,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,Success (Success),02 00
URB,0048,16:07:43.310,376.253680 s,,Bulk or Interrupt Transfer,16 bytes data,F2 35 F0 ED 00 E0 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,,F2 35 F0 ED 00 E0 00 00 5F A0 00 00 00 00 00 00
URB,0049-0048,16:07:43.311,376.254647 s,967 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,Success (Success)
URB,0050,16:07:43.311,376.254672 s,,Bulk or Interrupt Transfer,64 bytes buffer,,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,
URB,0051-0050,16:07:43.314,376.256648 s,1.976 ms,Bulk or Interrupt Transfer,2 bytes data,08 00,in,01:00:81,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80070C7170h,Success (Success),08 00
URB,0052,16:07:43.314,376.256675 s,,Bulk or Interrupt Transfer,16 bytes data,F2 21 00 00 00 00 00 00...,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,,F2 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0053-0052,16:07:43.314,376.257649 s,974 us,Bulk or Interrupt Transfer,16 bytes buffer,,out,01:00:02,FFFFFA800393B2F0h,USBPDO-7,usbhub,FFFFFA80047EC010h,Success (Success)
Cleanup,0054,16:07:43.314,376.257674 s,,Cleanup,ST-LINK_gdbserver.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80047EC010h,
Cleanup,0055-0054,16:07:43.314,376.257719 s,45 us,Cleanup,ST-LINK_gdbserver.exe,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80047EC010h,Success
Close,0056,16:07:43.314,376.257722 s,,Close,,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80047EC010h,
Close,0057-0056,16:07:43.314,376.257726 s,3 us,Close,,,,,FFFFFA800373FB40h,,WinUsb,FFFFFA80047EC010h,Success

This report was generated by USBlyzer http://www.usblyzer.com/
